tconst,year,budget
tt0155267,1999,48000000
tt0155753,1998,30000000
tt0155776,1999,3500000
tt0155975,1998,60000000
tt0156096,1999,2000000
tt0156323,2000,10000000
tt0156812,2000,6000000
tt0156841,2000,25000000
tt0156934,1999,64000000
tt0157472,2002,26000000
tt0157503,1999,15000000
tt0158583,1999,800000
tt0158622,2000,83000000
tt0158811,1999,24000000
tt0158983,1999,21000000
tt0159097,1999,9000000
tt0159273,2001,40000000
tt0159365,2003,79000000
tt0159421,1999,26000000
tt0160009,2000,60000000
tt0160127,2000,93000000
tt0160184,2002,55000000
tt0160236,1999,70000000
tt0160399,2001,30000000
tt0160429,1999,25000000
tt0160484,2000,50000000
tt0160797,2000,60000000
tt0160862,1999,10000000
tt0160916,1999,50000000
tt0161081,2000,100000000
tt0161083,2001,60000000
tt0161100,1999,6000000
tt0162222,2000,90000000
tt0162346,2001,7000000
tt0162360,1999,2500000
tt0162650,2000,46000000
tt0162661,1999,100000000
tt0162677,1999,22000000
tt0162983,2000,60000000
tt0163025,2001,93000000
tt0163187,1999,70000000
tt0163579,1999,70000000
tt0163651,1999,11000000
tt0163676,2000,24000000
tt0163978,2000,50000000
tt0163983,2000,65000000
tt0163988,1999,55000000
tt0164052,2000,95000000
tt0164085,1999,10000000
tt0164108,1999,15000000
tt0164114,1999,8500000
tt0164181,1999,12000000
tt0164184,2002,68000000
tt0164212,2000,25000000
tt0164334,2001,60000000
tt0164912,1999,133000000
tt0165494,1998,20000000
tt0165643,1999,12000000
tt0165710,1999,34000000
tt0165854,1999,10000000
tt0165929,2000,25000000
tt0165982,2003,60000000
tt0166110,2001,16000000
tt0166252,1999,20000000
tt0166276,2001,75000000
tt0166485,1999,92000000
tt0166813,2002,80000000
tt0166943,1999,27000000
tt0167190,2004,66000000
tt0167203,2000,50000000
tt0167260,2003,94000000
tt0167261,2002,94000000
tt0167404,1999,40000000
tt0167427,1999,34000000
tt0167456,2004,57000000
tt0168501,1999,9000000
tt0168786,2002,12500000
tt0169547,1999,15000000
tt0170016,2000,123000000
tt0171356,2000,14000000
tt0171363,1999,80000000
tt0171433,2000,29000000
tt0171580,2000,35000000
tt0171804,1999,2000000
